fecha,plataforma,esquema,precio_actual_usd,precio_ref_base_usd,moneda,nota
2026-08-04,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-05,Reconn,PECB,799,799,USD,agotado-out-of-stock-confirmado-no-comprable-hoy
2026-08-05,SMATICA,PECB,,889,,no-disponible-fetch-vacio-2-intentos-websearch-confirmo-url-correcta-sin-precio
2026-08-05,iCertworks,PECB,1150,1150,USD,disponible-ganadora-hoy-tras-exclusion-reconn-smatica
2026-08-05,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-06,Reconn,PECB,799,799,USD,agotado-out-of-stock-confirmado-no-comprable-hoy
2026-08-06,SMATICA,PECB,,889,,no-disponible-fetch-vacio-2-intentos
2026-08-06,iCertworks,PECB,1150,1150,USD,disponible-ganadora-hoy-tras-exclusion-reconn-smatica (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-06,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-07,Reconn,PECB,799,799,USD,agotado-out-of-stock-confirmado-no-comprable-hoy
2026-08-07,SMATICA,PECB,,889,,no-disponible-fetch-vacio-3-intentos-websearch-confirmo-url-correcta-sin-precio
2026-08-07,iCertworks,PECB,1150,1150,USD,disponible-ganadora-hoy-tras-exclusion-reconn-smatica (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-07,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-08,Reconn,PECB,799,799,USD,disponible-ganadora-hoy
2026-08-08,SMATICA,PECB,,889,,no-disponible-fetch-vacio-3-intentos-websearch-confirmo-url-correcta-sin-precio
2026-08-08,iCertworks,PECB,1150,1150,USD,disponible (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-08,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-09,Reconn,PECB,799,799,USD,disponible-ganadora-hoy
2026-08-09,SMATICA,PECB,,889,,no-disponible-fetch-vacio-3-intentos-websearch-confirmo-url-correcta-sin-precio
2026-08-09,iCertworks,PECB,1150,1150,USD,disponible (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-09,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-10,Reconn,PECB,799,799,USD,agotado-out-of-stock-confirmado-no-comprable-hoy
2026-08-10,SMATICA,PECB,,889,,no-disponible-fetch-vacio-2-intentos-websearch-confirmo-url-correcta-sin-precio
2026-08-10,iCertworks,PECB,1150,1150,USD,disponible-ganadora-hoy-tras-exclusion-reconn-smatica (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-10,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-11,Reconn,PECB,799,799,USD,agotado-out-of-stock-confirmado-no-comprable-hoy
2026-08-11,SMATICA,PECB,,889,,no-disponible-fetch-vacio-2-intentos-websearch-sin-precio
2026-08-11,iCertworks,PECB,1150,1150,USD,disponible-ganadora-hoy-tras-exclusion-reconn-smatica (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-11,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-12,Reconn,PECB,799,799,USD,agotado-out-of-stock-confirmado-no-comprable-hoy
2026-08-12,SMATICA,PECB,,889,,no-disponible-fetch-vacio-2-intentos-websearch-sin-precio
2026-08-12,iCertworks,PECB,1150,1150,USD,disponible-ganadora-hoy-tras-exclusion-reconn-smatica (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-12,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-13,Reconn,PECB,799,799,USD,disponible-ganadora-hoy
2026-08-13,SMATICA,PECB,,889,,no-disponible-fetch-vacio-3-intentos-websearch-sin-precio
2026-08-13,iCertworks,PECB,1150,1150,USD,disponible-no-ganadora (multi-region: US/CA/UK $1150; EU/ME $2499-live; self-study/eLearning $950-1150 segun region)
2026-08-13,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-14,Reconn,PECB,799,799,USD,disponible-ganadora-hoy
2026-08-14,SMATICA,PECB,,889,,no-disponible-fetch-vacio-2-intentos-websearch-sin-precio
2026-08-14,iCertworks,PECB,1150,1150,USD,disponible-no-ganadora (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-14,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-15,Reconn,PECB,799,799,USD,disponible-ganadora-hoy
2026-08-15,SMATICA,PECB,,889,,no-disponible-fetch-vacio-websearch-confirmo-url-correcta-sin-precio
2026-08-15,iCertworks,PECB,1150,1150,USD,disponible-no-ganadora (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-15,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-16,Reconn,PECB,799,799,USD,disponible-ganadora-hoy
2026-08-16,SMATICA,PECB,,889,,no-disponible-fetch-vacio-websearch-confirmo-url-correcta-sin-precio
2026-08-16,iCertworks,PECB,1150,1150,USD,disponible-no-ganadora (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-16,GSDC,propio,400,400,USD,excluida-no-openbook
2026-08-17,Reconn,PECB,799,799,USD,disponible-ganadora-hoy
2026-08-17,SMATICA,PECB,,889,,no-disponible-fetch-vacio-websearch-confirmo-url-correcta-sin-precio
2026-08-17,iCertworks,PECB,1150,1150,USD,disponible-no-ganadora (multi-region: US/CA/UK $1150; EU/ME $1050; APAC/Africa $950)
2026-08-17,GSDC,propio,400,400,USD,excluida-no-openbook
